uid,city,gps,pictures,surface details,quantity,Notes
88220,manhattan,"40.76621, -73.98732",88220_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/4dde07180a713da005f9feb495ff75ef/1329410e),small-rooftop-entrance,1,
399314,manhattan,"40.76664, -73.99","399314_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/04add5c7dbd8fea0bdd7de5c0563a8d1/5ca750de),399314_lidar_unlabeled.png (https://dl.airtable.com/.attachments/4332ad9a680460f418f2d082c3d5d568/f106aec9)",multi-level,2,
622247,manhattan,"40.76639, -73.98946",622247_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/ffd3d2d3bcc744a33ce353ed991a47c9/6d4ccf0c),"multi-level,ac-unit,small-rooftop-entrance,small-building","2, 1, 4, 2",
1255910,manhattan,"40.7663, -73.98932",1255910_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/2405cdb2e0ee212367bbee260047fe48/a9a105a0),"any-ducts,small-rooftop-entrance,small-building","2, 1, 1",
122787,manhattan,"40.76628, -73.98923",122787_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/8b21e960a5c42084801272548c435911/d47c51c0),"multi-level,small-rooftop-entrance,skylight","1, 1, 2",
400163,manhattan,"40.76638, -73.98901",400163_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/5bd10094cea69094ee21b57fa064c669/05ff197e),"multi-level,tarp","1, 2",
250483,manhattan,"40.76648, -73.98868",250483_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/60aa3489010a4a9c6aa85370879bbeeb/9d697065),"small-rooftop-entrance,water-tower,skylight","1, 1, 2",
516923,manhattan,"40.76635, -73.9884",516923_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/03db23276bf874e6bae1605a01bac73b/08a6cfc3),"multi-level,skylight,any-ducts,ac-unit","2, 1, 1, 3",
828206,manhattan,"40.76612, -73.98791",828206_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/f7ab4fd280325cb83a0d407ebb563cdd/722a5195),"small-rooftop-entrance,enclosed-water-tower,air-vents,multi-level","2, 12, 1, 2",
552766,manhattan,"40.76606, -73.98765",552766_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/9de5ce6fc62ac7710fb15f9880504353/400d0ce4),empty,1,
808483,manhattan,"40.76599, -73.98745",808483_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/744e2221bc00847e5acde1c87f6d2065/ec61c2a3),small-rooftop-entrance,1,
749987,manhattan,"40.76593, -73.98747",808483_rgb_unlabeled.jpg (https://dl.airtable.com/.attachments/2f7d87205f3efe55adbd74aa1fe889f2/94dadd85),"ac-unit,small-rooftop-entrance","1, 1",
